Guideline URL,Ethnic Group Found,Page Numbers
https://www.sign.ac.uk/media/1706/20160126-metastatic-breast-cancer-proposal-v05.pdf,Chinese,"[23, 25, 26]"
https://www.sign.ac.uk/media/2038/sign50_2019.pdf,White,[27]
https://www.sign.ac.uk/media/2038/sign50_2019.pdf,Asian,[27]
https://www.sign.ac.uk/media/1084/sign148.pdf,White,"[8, 56, 57, 58, 59, 60, 63, 64, 65]"
https://www.sign.ac.uk/media/1084/sign148.pdf,Chinese,[52]
https://www.sign.ac.uk/media/1472/sign148_consultation_report.pdf,Chinese,[15]
https://www.sign.ac.uk/media/1642/sign50_2011.pdf,Black,[109]
https://www.sign.ac.uk/media/1642/sign50_2011.pdf,African,[35]
https://www.sign.ac.uk/media/1067/sign129.pdf,White,"[71, 73]"
https://www.sign.ac.uk/media/1081/sign145.pdf,White,[68]
https://www.sign.ac.uk/media/1081/sign145.pdf,Black,"[72, 77]"
https://www.sign.ac.uk/media/1494/sign145_search_narrative.pdf,White,[7]
https://www.sign.ac.uk/media/1495/sign145_consultation_report.pdf,White,"[14, 39, 65]"
https://www.sign.ac.uk/media/2157/sign-168-dementia.pdf,White,"[44, 69, 110, 112]"
https://www.sign.ac.uk/media/2157/sign-168-dementia.pdf,Asian,[41]
https://www.sign.ac.uk/media/2157/sign-168-dementia.pdf,Chinese,[41]
https://www.sign.ac.uk/media/2157/sign-168-dementia.pdf,Black,"[10, 25, 44, 112]"
https://www.sign.ac.uk/media/2157/sign-168-dementia.pdf,African,[65]
https://www.sign.ac.uk/media/2131/20210630-dementia-search-narrative.pdf,Irish Traveller,[21]
https://www.sign.ac.uk/media/2131/20210630-dementia-search-narrative.pdf,Asian,[21]
https://www.sign.ac.uk/media/2131/20210630-dementia-search-narrative.pdf,Indian,[21]
https://www.sign.ac.uk/media/2131/20210630-dementia-search-narrative.pdf,Pakistani,[21]
https://www.sign.ac.uk/media/2131/20210630-dementia-search-narrative.pdf,Bangladeshi,[21]
https://www.sign.ac.uk/media/2131/20210630-dementia-search-narrative.pdf,Chinese,[21]
https://www.sign.ac.uk/media/2131/20210630-dementia-search-narrative.pdf,Black,[21]
https://www.sign.ac.uk/media/2131/20210630-dementia-search-narrative.pdf,African,[21]
https://www.sign.ac.uk/media/2131/20210630-dementia-search-narrative.pdf,Caribbean,[21]
https://www.sign.ac.uk/media/2131/20210630-dementia-search-narrative.pdf,Black British,[21]
https://www.sign.ac.uk/media/2131/20210630-dementia-search-narrative.pdf,Arab,[21]
https://www.sign.ac.uk/media/2135/2023-11-14-eqia-dementia-v1.pdf,Black,[6]
https://www.sign.ac.uk/media/2377/ng245-asthma-guideline-20251112.pdf,White,[27]
https://www.sign.ac.uk/media/1068/sign130.pdf,White,[69]
https://www.sign.ac.uk/media/1068/sign130.pdf,Black,[71]
https://www.sign.ac.uk/media/2342/sign-158-2024-british-guideline-on-the-management-of-asthma-may-2025.pdf,White,"[16, 76, 80, 84, 105, 114, 119, 120, 125, 132, 142]"
https://www.sign.ac.uk/media/2342/sign-158-2024-british-guideline-on-the-management-of-asthma-may-2025.pdf,Asian,"[110, 129, 141]"
https://www.sign.ac.uk/media/2342/sign-158-2024-british-guideline-on-the-management-of-asthma-may-2025.pdf,Indian,"[114, 137]"
https://www.sign.ac.uk/media/2342/sign-158-2024-british-guideline-on-the-management-of-asthma-may-2025.pdf,Chinese,"[30, 114, 124, 125]"
https://www.sign.ac.uk/media/2342/sign-158-2024-british-guideline-on-the-management-of-asthma-may-2025.pdf,Black,"[141, 152]"
https://www.sign.ac.uk/media/2342/sign-158-2024-british-guideline-on-the-management-of-asthma-may-2025.pdf,African,"[114, 142]"
https://www.sign.ac.uk/media/1980/20220125-asthma-guideline-outcomes-report-mb-bc-final.pdf,White,[32]
https://www.sign.ac.uk/media/1394/sign158-register-of-interests.pdf,White,[1]
https://www.sign.ac.uk/media/1393/sign158-consultation-report.pdf,White,"[14, 26]"
https://www.sign.ac.uk/media/1393/sign158-consultation-report.pdf,Black,[57]
https://www.sign.ac.uk/media/1393/sign158-consultation-report.pdf,African,[46]
https://www.sign.ac.uk/media/1089/sign152.pdf,White,"[62, 67, 68]"
https://www.sign.ac.uk/media/1089/sign152.pdf,Black,[67]
